CreditMarginManag;SRV.MS;;;;CBK;MODELS
CryptoClient;ARQ.LIB;;;;CBK;CRYPTO
CryptoClient;ARQ.MIA;;;;CBK;CRYPTO
CurrencyExchange;SRV.LIB;;;;CBK;currencyExchange
CurrentAccount;SRV.LIB;;;;CBK;LoansDeposits
CurrentAccountOperation;SRV.MS;;;;CBK;accounts
CusBehInsightsDigitalProfile;SRV.MS;;;;CBK;CustomerManagement
CusCampExecLifeInsurance;SRV.MS;;;;CBK;CustomerCampaignExecution
CusCampManagLifeInsurance;SRV.MS;;;;CORP;MARKETING
CusCampaignManagCardDenial;SRV.MS;;;;CBK;customerCampaignManagement
CusProdServices;SRV.MS;;;;CBK;CustomerManagement
CustProServEligibilityDeposits;SRV.MS;;;;CBK;CUSTOMERMANAGEMENT
CustomerAccessCardEntitlement;SRV.MS;;;;CBK;CustomerAccessCardEntitlement
CustomerAccessEntitlement;SRV.MS;;;;CBK;CustomerManagement
CustomerAdvisorAppointment;CA.APP;;;;CBK;echannels
CustomerAgreement;SRV.CFG;;;;CBK;CUSTOMERMANAGEMENT
CustomerAgreementTradeBanking;SRV.MS;;;;CBK;CUSTOMERMANAGEMENT
CustomerBilling;CA.APP;;;;CBK;OperationalServicces
CustomerBilling;SRV.MS;;;;CBK;OperationalServices
CustomerBillingNonLifeInsurance;SRV.MS;;;;CBK;CustomerBilling
CustomerCampaignExecution;SRV.MS;;;;CBK;SALES
CustomerCampaignExecutionLifeInsurance;SRV.MS;;;;CBK;CustomerCampaignExecution
CustomerCampaignManagLifeInsurance;CA.APP;;;;CORP;MARKETING
CustomerCampaignManagement;CA.APP;;;;CBK;BusinessCommandAndControl
CustomerCampaignManagement;SRV.MS;;;;CBK;customerCampaignManagement
CustomerCampaignManagementCCS;SRV.MS;;;;CBK;marketing
CustomerClaimsNonLifeInsurance;SRV.LIB;;;;CBK;OPERATIONALSERVICES
CustomerCreditRating;SRV.MS;;;;CBK;CustomerManagement
CustomerLoan;CA.APP;;;;CBK;Sales
CustomerOfferConsumerFinance;SRV.MS;;;;CBK;CustomerOffer
CustomerPosition;SRV.LIB;;;;CBK;AccountingServices
CustomerPositionLifeInsurance;SRV.MS;;;;CBK;ACCOUNTINGSERVICES
CustomerProductsAndServices;SRV.LIB;;;;CBK;CustomerManagement
CustomerProductsandServicesCBI;SRV.MS;;;;CBK;CUSTOMERMANAGEMENT
CustomerProfileCPC;SRV.MS;;;;CBK;CUSTOMERMANAGEMENT
CustomerProfileRatingScoring;SRV.MS;;;;CBK;CustomerManagement
CustomerProfileSubsidiaries;SRV.MS;;;;CBK;CustomerManagement
CustomerProfileSubsidiariesCPC;SRV.MS;;;;CORP;CUSTOMERMANAGEMENT
CustomerSurveys;CA.WID;;;;CBK;ECHANNELS
